Entity ID,Description,Creator Label,Input Text
http://www.wikidata.org/entity/Q12418,N/A,Leonardo da Vinci,mona lisa
http://www.wikidata.org/entity/Q115951848,N/A,Henry Scott Tuke,the bathers
http://www.wikidata.org/entity/Q3210847,N/A,Petrus Christus,The Death of the Virgin
http://www.wikidata.org/entity/Q20198188,N/A,Charles Willson Peale,Mordecai Gist
http://www.wikidata.org/entity/Q106844148,N/A,Adam Elsheimer,A Set of Small Religious Scenes
http://www.wikidata.org/entity/Q7190121,N/A,Henri Matisse,The Piano Lesson
http://www.wikidata.org/entity/Q72603760,N/A,Jan Lievens,Head of an Old Man
http://www.wikidata.org/entity/Q18563640,N/A,William Turner,A Storm (Shipwreck)
http://www.wikidata.org/entity/Q43256225,N/A,Ivan Shishkin,Evening in a pine forest
http://www.wikidata.org/entity/Q19833843,N/A,Vincent van Gogh,Baskets of Potatoes
http://www.wikidata.org/entity/Q105988581,N/A,Gerard van Honthorst,Meleager und Atalante
http://www.wikidata.org/entity/Q5375476,N/A,Vincent van Gogh,Enclosed Field
http://www.wikidata.org/entity/Q111716722,N/A,Giovanni Battista Gaulli,"Emmanuel-Théodose De La Tour D'auvergne, Cardinal De Bouillon"
http://www.wikidata.org/entity/Q76629894,N/A,Jacques Hérold,The Shield
http://www.wikidata.org/entity/Q102220957,N/A,Salvador Dali,Moses and the Pharaoh
http://www.wikidata.org/entity/Q28002609,N/A,Egon Schiele,The Family
http://www.wikidata.org/entity/Q119950648,N/A,Alfred Wallis,Ship
http://www.wikidata.org/entity/Q20743646,N/A,Thomas Hill,Resting by a Stream
http://www.wikidata.org/entity/Q119123341,N/A,James Campbell Noble,A Study
http://www.wikidata.org/entity/Q20181991,N/A,Henry Ossawa Tanner,The Disciples See Christ Walking on the Water
http://www.wikidata.org/entity/Q112221598,N/A,Pierre Auguste Renoir,Landscape
http://www.wikidata.org/entity/Q18602618,N/A,Caspar David Friedrich,Flat country shank at Bay of Greifswald
http://www.wikidata.org/entity/Q119118847,N/A,George Frederick Watts,James Martineau
http://www.wikidata.org/entity/Q110728571,N/A,Albert Anker,"The Louvre, Paris"
http://www.wikidata.org/entity/Q50820896,N/A,Philip Wilson Steer,"Richmond, Yorkshire"
http://www.wikidata.org/entity/Q77540378,N/A,Gene Davis,Citadel
http://www.wikidata.org/entity/Q28541424,N/A,William Orpen,The Angler
http://www.wikidata.org/entity/Q19882635,N/A,Wassily Kandinsky,Landscape with Rain
http://www.wikidata.org/entity/Q21716340,N/A,Pieter Aertsen,Vendor of Fowl
http://www.wikidata.org/entity/Q18619798,N/A,Daniele da Volterra,David and Goliath (Recto)
http://www.wikidata.org/entity/Q21741527,N/A,George Dawe,Portrait of Grigory M. Berg (1765-1833 or 1838)
http://www.wikidata.org/entity/Q110071271,N/A,Rudolf von Alt,View of Ischl
http://www.wikidata.org/entity/Q571416,N/A,Peter Paul Rubens,The Honeysuckle Bower
http://www.wikidata.org/entity/Q24050640,N/A,Anton Mauve,Fishing boat on the beach
http://www.wikidata.org/entity/Q2439462,N/A,Rogier van der Weyden,Portrait of a Woman
http://www.wikidata.org/entity/Q46729011,N/A,Jack Bush,Down and Across
http://www.wikidata.org/entity/Q18684783,N/A,Edouard Manet,The House at Rueil
http://www.wikidata.org/entity/Q87742930,N/A,Pierre Auguste Renoir,Seated Woman
http://www.wikidata.org/entity/Q104786857,N/A,Jan Cossiers,The Martyrdom of St Catherine
http://www.wikidata.org/entity/Q20743172,N/A,Thomas Hill,Irrigating at Strawberry Farm
http://www.wikidata.org/entity/Q29654663,N/A,Fede Galizia,Portrait of Paolo Morigia
http://www.wikidata.org/entity/Q43083258,N/A,Abraham Storck,Gezicht Op Het Ij Bij Amsterdam
http://www.wikidata.org/entity/Q117264757,N/A,Charles Gleyre,The Bath
http://www.wikidata.org/entity/Q119685316,N/A,John Crome,"Bruges River, Ostend in the Distance – Moonlight"
http://www.wikidata.org/entity/Q52278225,N/A,Henry Herbert La Thangue,"Study of a Boy in a Black Hat, before a Cornfield"
http://www.wikidata.org/entity/Q64513978,N/A,Hans Hofmann,Magenta and Blue
http://www.wikidata.org/entity/Q28795845,N/A,David Cox,"On Lancaster Sands, Low Tide"
http://www.wikidata.org/entity/Q119806643,N/A,Stanley Spencer,Separating Fighting Swans
http://www.wikidata.org/entity/Q20854824,N/A,Pierre Auguste Renoir,The Gust of Wind
http://www.wikidata.org/entity/Q20538843,N/A,Claude Monet,Cap Martin
http://www.wikidata.org/entity/Q28146332,N/A,Joan Mitchell,Low Water
http://www.wikidata.org/entity/Q111799509,N/A,Otto Mueller,Zwei in Dünen Sitzende Mädchen
http://www.wikidata.org/entity/Q119796091,N/A,Alfred Parsons,The Pear Orchard
http://www.wikidata.org/entity/Q19883502,N/A,Georges Braque,Landscape at La Ciotat
http://www.wikidata.org/entity/Q19924599,N/A,John Singer Sargent,Venice
http://www.wikidata.org/entity/Q98925430,N/A,Columbano Bordalo Pinheiro,Repolho
http://www.wikidata.org/entity/Q11824921,N/A,Gentile Bellini,Portrait of Catherine Cornaro Queen of Cyprus
http://www.wikidata.org/entity/Q26693454,N/A,Benvenuto Tisi,The Agony in the Garden
http://www.wikidata.org/entity/Q27955932,N/A,Samuel Peploe,The Green Blouse
http://www.wikidata.org/entity/Q104377381,N/A,Paul Albert Besnard,Portrait D'andré Wormser
http://www.wikidata.org/entity/Q1595032,N/A,Parmigianino,Saint Barbara
http://www.wikidata.org/entity/Q23933601,N/A,Joan Brull i Vinyoles,Retrat De La Filla De L'artista
http://www.wikidata.org/entity/Q119200504,N/A,Alfred Wallis,Three-Masted Ship near Lighthouse
http://www.wikidata.org/entity/Q3937481,N/A,Anthony van Dyck,Charles I on horseback
http://www.wikidata.org/entity/Q17492019,N/A,Pierre Puvis de Chavannes,Charity
http://www.wikidata.org/entity/Q18683042,N/A,Albert Joseph Moore,Blossoms
http://www.wikidata.org/entity/Q20854511,N/A,Charles Courtney Curran,A Breezy Day
http://www.wikidata.org/entity/Q2272625,N/A,John Constable,The Cornfield
http://www.wikidata.org/entity/Q118798457,N/A,William Merritt Chase,Ready For The Ride
http://www.wikidata.org/entity/Q63170456,N/A,Francis Bacon,Figure Study II
http://www.wikidata.org/entity/Q105071634,N/A,Ivan Aivazovsky,Passage of the Jews through the Red Sea
http://www.wikidata.org/entity/Q117795183,N/A,Agnolo Bronzino,Allegorical Portrait of Dante
http://www.wikidata.org/entity/Q20774149,N/A,Lilla Cabot Perry,Open Air Concert
http://www.wikidata.org/entity/Q108479211,N/A,Pierre Auguste Renoir,Study of a Woman
http://www.wikidata.org/entity/Q119831026,N/A,Alfred Wallis,"Sailing Ships and Two Steamers, Newlyn Harbour"
http://www.wikidata.org/entity/Q119796881,N/A,Samuel Peploe,"Evening, North Berwick"
http://www.wikidata.org/entity/Q24022809,N/A,Vincent van Gogh,Olive Grove
http://www.wikidata.org/entity/Q116298671,N/A,Jules Breton,The Harvest
http://www.wikidata.org/entity/Q119261369,N/A,Laura Knight,Young Gypsies
http://www.wikidata.org/entity/Q119693872,N/A,James Charles,Spring Blossom at Ambersham
http://www.wikidata.org/entity/Q19912231,N/A,Henri de Toulouse-Lautrec,Woman in the Garden
http://www.wikidata.org/entity/Q20190957,N/A,Mary Cassatt,Mother and Child
http://www.wikidata.org/entity/Q74875605,N/A,Sam Francis,Indigo Wood
http://www.wikidata.org/entity/Q20260876,N/A,Alfred Sisley,A Turn in the Road
http://www.wikidata.org/entity/Q20193563,N/A,Arshile Gorky,One Year the Milkweed
http://www.wikidata.org/entity/Q66050786,N/A,Daniel Ridgway Knight,A Maid in Her Garden
http://www.wikidata.org/entity/Q119152610,N/A,Frederick Carl Frieseke,Lady in Pink
http://www.wikidata.org/entity/Q4387907,N/A,Ivan Aivazovsky,The Rainbow
http://www.wikidata.org/entity/Q98149907,N/A,Jacob Ochtervelt,The Music Lesson
http://www.wikidata.org/entity/Q27698909,N/A,Jusepe de Ribera,The Immaculate
http://www.wikidata.org/entity/Q65356642,N/A,Henri de Toulouse-Lautrec,Miss May Belfort
http://www.wikidata.org/entity/Q49873216,N/A,Francisco Goya,Juan Antonio Llorente
http://www.wikidata.org/entity/Q2405395,N/A,Andrea Mantegna,Adoration of the Magi
http://www.wikidata.org/entity/Q59484184,N/A,Byam Shaw,The Flag
http://www.wikidata.org/entity/Q79134586,N/A,Adolphe Joseph Thomas Monticelli,Still Life with Sardines and Sea-Urchins
http://www.wikidata.org/entity/Q21607747,N/A,Gabriel Metsu,The Dismissal of Hagar
http://www.wikidata.org/entity/Q1218084,N/A,Rembrandt,The Three Crosses
http://www.wikidata.org/entity/Q119768348,N/A,George Morland,The Village Butcher
http://www.wikidata.org/entity/Q97378865,N/A,Egon Schiele,The Embrace
http://www.wikidata.org/entity/Q105123108,N/A,Jean Michel Basquiat,Fishing
http://www.wikidata.org/entity/Q28854839,N/A,Martiros Sarian,Walking woman
http://www.wikidata.org/entity/Q4012247,N/A,Frederic Leighton,"The Villa Malta, Rome"
http://www.wikidata.org/entity/Q19858526,N/A,Robert Delaunay,In the Garden
http://www.wikidata.org/entity/Q119081762,N/A,James Webb,Evening off St Michael's Mount
http://www.wikidata.org/entity/Q4389943,N/A,Vasily Polenov,Early snow
http://www.wikidata.org/entity/Q24020443,N/A,Vincent van Gogh,"Still Life with Earthenware, Bottle and Clogs"
http://www.wikidata.org/entity/Q3937477,N/A,Amedeo Modigliani,Portrait of Frank Burty Haviland
http://www.wikidata.org/entity/Q108699185,N/A,Frank Johnston,What Greets the Eye When You Look Back at the Pilot
http://www.wikidata.org/entity/Q119656460,N/A,John Bratby,Elaine Morgan
http://www.wikidata.org/entity/Q103310020,N/A,Adriaen van Ostade,The Peasant Settling His Debt
http://www.wikidata.org/entity/Q50735356,N/A,Jeffrey Smart,Corrugated Gioconda
http://www.wikidata.org/entity/Q1113763,N/A,Diego Velazquez,Pablo de Valladolid
http://www.wikidata.org/entity/Q119694576,N/A,Winston Churchill,"Racecourse, Nice"
http://www.wikidata.org/entity/Q26221172,N/A,Vincent van Gogh,Enclosed Field with Ploughman
http://www.wikidata.org/entity/Q23939715,N/A,Oskar Kokoschka,Portrait of Lotte Franzos
http://www.wikidata.org/entity/Q20190784,N/A,Pablo Picasso,Le gourmet
http://www.wikidata.org/entity/Q42860719,N/A,Benjamin West,Venus Lamenting the Death of Adonis
http://www.wikidata.org/entity/Q26221243,N/A,Vincent van Gogh,Garden in Auvers
http://www.wikidata.org/entity/Q102184466,N/A,Salvador Dali,The Tower
http://www.wikidata.org/entity/Q3636743,N/A,Cima da Conegliano,The Baptism of Christ
http://www.wikidata.org/entity/Q26689504,N/A,Adam Elsheimer,Saint Lawrence Prepared for Martyrdom
http://www.wikidata.org/entity/Q50818695,N/A,Claude Monet,The Sunken Road in the Cliff at Varangeville
http://www.wikidata.org/entity/Q20180743,N/A,Gilbert Stuart,John Adams
http://www.wikidata.org/entity/Q19905429,N/A,Jan Steen,Merry Company on a Terrace
http://www.wikidata.org/entity/Q20812816,N/A,Thomas Eakins,Portrait of Lucy Lewis
http://www.wikidata.org/entity/Q20171507,N/A,William Blake,The Great Red Dragon and the Beast from the Sea
http://www.wikidata.org/entity/Q3076680,N/A,Diego Velazquez,Equestrian Portrait of Philip IV
http://www.wikidata.org/entity/Q5651584,N/A,John William Waterhouse,Ulysses and the Sirens
http://www.wikidata.org/entity/Q59505338,N/A,Prudence Heward,Leaves (Study for Portrait of Barbara)
http://www.wikidata.org/entity/Q119014200,N/A,George Romney,"Major-General Sir Archibald Campbell of Inverneil and Ross (1739–1791), KB, Governor and Commander-in-Chief, Madras"
http://www.wikidata.org/entity/Q18173404,N/A,Katsushika Hokusai,The Fuji from the mountains of Totomi
