Artist,ID
Mary_Cassatt,Q173223
Dirck_van_Baburen,Q380708
Walter_Osborne,Q7965751
Johan_Jongkind,Q704585
Alexander_Calder,Q151580
Charles_Garabed_Atamian,Q724894
Pavel_Filonov,Q466187
John_Jackson_(painter),Q5390252
Eduardo_Paolozzi,Q165397
Pierre_Roy_%28painter%29,Q1347013
Paul_Peel,Q609959
Alexander_Bogomazov,Q1984317
Otto_Dix,Q153104
Fyodor_Rokotov,Q372393
George_Frederic_Watts,Q183245
Jean_Dupas,Q3171870
Julian_Ashton,Q6306955
Charles_Maurin,Q371549
Jean_Baptiste_Vanmour,Q956812
Karl_Bryullov,Q4768
Alexey_Bogolyubov,Q372277
David_Kakabadze,Q2028362
Edwin_Dickinson,Q5346359
Miguel_Rio_Branco,Q6015029
Moshe_Kupferman,Q12409621
James_Campbell_Noble,Q3372594
Alexandre-Gabriel_Decamps,Q458288
Hans_Baldung,Q164696
Lajos_Vajda,Q258704
Eva_Janina_Wieczorek,Q91011
Albert_Aublet,Q2830928
Lady_Frieda_Harris,Q1456340
George_Harvey_(painter),Q1507528
Emilio_Scanavino,Q472656
Rudolf_Bauer_%28artist%29,Q72615
Anne_Ryan,Q4768767
Vilhelms_Purv%C4%ABtis,Q2663470
Anita_Malfatti,Q465919
Henri_Rousseau,Q156386
Tsuguharu_Foujita,Q261846
Piet_Mondrian,Q151803
%C8%98tefan_C%C3%A2l%C8%9Bia,Q4577849
Patrick_Heron,Q1563132
Pietro_da_Cortona,Q333323
Jock_Macdonald,Q6207382
%C3%81sgr%C3%ADmur_J%C3%B3nsson,Q252549
Giulio_Paolini,Q826845
Jean-Joseph_Benjamin-Constant,Q968357
János_Mattis-Teutsch,Q830827
Georges_Rouault,Q156128
Otto_Freundlich,Q699326
Doug_Ohlson,Q2194579
Philip_Wilson_Steer,Q2076179
Amedeo_Modigliani,Q120993
Otto_van_Veen,Q785355
Masaccio,Q5811
Albert_Huie,Q4710514
Xul_Solar,Q1435414
Jean_Hugo,Q3172570
Thomas_Smith_(American_painter),Q7794049
Daniel_Dezeuze,Q3013946
Rosalyn_Drexler,Q7367281
Iosif_Iser,Q661172
Rachel_Ruysch,Q234385
Hilma_af_Klint,Q436267
Arthur_Streeton,Q709280
Afro_Basaldella,Q388090
Pavel_Svinyin,Q3210067
Fred_Sandback,Q1452504
James_Ensor,Q158840
J%C3%BAlio_Pomar,Q1339597
Marsden_Hartley,Q553259
Lee_Krasner,Q237959
Paul_Kane,Q506000
Paul_Gavarni,Q1074290
Vasily_Tropinin,Q434561
Lucian_Grigorescu,Q6696710
Mikhail_Larionov,Q38785
%C3%89douard_Riou,Q583275
Jorge_Castillo_(artist),Q326813
Richard_Spare,Q16150495
Clarence_Holbrook_Carter,Q5126587
Yury_Annenkov,Q1362480
Herbert_Zangs,Q317878
Carl_Buchheister,Q476542
Jan_Siberechts,Q1347599
Domenico_Veneziano,Q368546
Charles_Gibbons_(artist),Q5078015
Mih%C3%A1ly_Munk%C3%A1csy,Q551652
Bernardo_Marques,Q4893931
Juan_de_Vald%C3%A9s_Leal,Q518898
Utamaro,Q272045
J._Alden_Weir,Q1284220
Vilhelm_Lundstr%C3%B8m,Q4993706
Alberto_Magnelli,Q607568
Marcia_Hafif,Q19976003
Lasar_Segall,Q692098
Johan_Christian_Dahl,Q164735
Thomas_Jones_(artist),Q1743855
W%C5%82adys%C5%82aw_Strzemi%C5%84ski,Q2471547
Mart%C3%ADn_Chirino,Q1276527
Ion_Andreescu,Q723350
Giuseppe_Santomaso,Q470405
Odilon_Redon,Q154349
Ali_Akbar_Sadeghi,Q4724601
Claudio_Coello,Q332466
Sandro_Botticelli,Q5669
Luigi_Serafini_(artist),Q1275379
Ruth_Vollmer,Q7383250
Philip_Guston,Q701952
Arkady_Rylov,Q3623704
Henry_William_Banks_Davis,Q5399743
Mario_Sironi,Q643778
Martyl_Langsdorf,Q15993186
Henry_Tonks,Q364658
Konstantin_Gorbatov,Q943854
Endre_Rozsda,Q1251377
Jean-Joseph-Xavier_Bidauld,Q3166488
Dana_Schutz,Q5214826
John_Lee_(artist),Q6244367
Joan_Brull,Q3544236
Antonio_Donghi,Q2857263
Charles_Le_Brun,Q271676
Lilia_Carrillo,Q6547638
Vasily_Perov,Q315237
Lubo_Kristek,Q138389
Theodor_Aman,Q716808
Suzanne_Duchamp,Q435558
Hubert_Robert,Q548205
Pieter_van_Hanselaere,Q1848256
Ralph_Albert_Blakelock,Q1353482
John_Duncan_Fergusson,Q345905
Vicente_Juan_Masip,Q11287651
John_Singer_Sargent,Q155626
Alphonse_Mucha,Q146691
Sharaku,Q361174
LeRoy_Neiman,Q3124601
Giorgio_Morandi,Q309618
Antoine_Pesne,Q203758
Marcel_Mari%C3%ABn,Q1865524
John_Ruskin,Q179126
Roger_Raveel,Q477465
Luis_Feito,Q1876397
Stefano_di_Giovanni,Q362016
Rembrandt,Q5598
Jenny_Saville,Q441461
Conroy_Maddox,Q5162696
Victor_Palmov,Q2060728
Adnan_Coker,Q61077635
Ilka_Ged%C5%91,Q546182
Carl_Larsson,Q187310
John_Bradley_(artist),Q16197540
Ludwig_Knaus,Q567361
Albert_Joseph_Moore,Q1399837
Paul_P%C4%83un,Q7153038
Vilmos_Aba-Nov%C3%A1k,Q18165
Henri_Gervex,Q956102
Edward_Moran,Q966864
Eugeniusz_Zak,Q983573
Mili%C8%9Ba_Petra%C8%99cu,Q6857941
Ben_Nicholson,Q281637
Myron_Stout,Q19666172
William_Orpen,Q922483
Otto_Mueller,Q317041
Joy_Hester,Q6297144
K%C3%A4the_Kollwitz,Q142472
M%C3%A1rio_Cesariny_de_Vasconcelos,Q1360242
William_Congdon,Q4019969
Alfred_Freddy_Krupa,Q17385549
Fra_Angelico,Q5664
Charlotte_Posenenske,Q1067301
Albert_Dubois-Pillet,Q2831132
Ian_Davenport,Q3147251
%C3%89mile_Bernard,Q264193
Hale_Woodruff,Q15489989
