Title,Name
mona lisa,leonardo da vinci
the bathers,henry scott
The Death of the Virgin,petrus christus
Fallen City,erol akyavas
The Bridge at Nogent,maurice de
Tierra de si&#243;n,modest cuixart
"Ready-to-wear Fashion for Next Spring; &#39;Garlands, Nests and Flowers&#39;",salvador dali
Female head,kuzma petrov
Study of a cat,suzanne valadon
Itzcuintli Dog with Me,frida kahlo
La Jolla Shores,charles reiffel
Girl dressed as Flora,konstantin makovsky
View from Livadia,ivan aivazovsky
Valentin Platonovich Musin Pushkin,dmitry levitzky
Thursday Jeudi,francis picabia
Three Wise Men,salvador dali
Portrait of a Woman of the House on the Rue d Amboise,henri de
Still life with a burning candle,pieter claesz
Mordecai Gist,charles willson
Two Women Seated by a Window,albert gleizes
A Set of Small Religious Scenes,adam elsheimer
C7,joaquim rodrigo
Patrol of Himalayas,nicholas roerich
Three horses,ivan vladimirov
Thinking,nicholas roerich
Two Athenian Women in Distress,aubrey beardsley
Portrait of Ludovico Beccadelli,titian
The Angus Nickelson Family,ralph earl
Ostafij&#160;Daszkiewicz,jan matejko
Portrait of President William Waugh Smith,william merritt
Self-portrait,jarnefelt eero
Preaching to the Birds and Blessing Montefalco (detail),benozzo gozzoli
Harbor Night,charles reiffel
The Piano Lesson,henri matisse
Dramatic Architecture,lyubov popova
The Protector,desmond morris
St. Paul At Ephesus,gustave dore
"Woman with Shawl over her Hair, Head",vincent van
Head of an Old Man,jan lievens
Portrait of Raffaele Lanzio da Vitine,giovanni battista
"Maria Bockennolle, Wife of Johannes Elison",rembrandt
Roses and Catkins,victor borisov
Riverside (Breton landscape),paul gauguin
View of the Parc de Crete over Clarens,gustave courbet
Self-portrait,sirak skitnik
"Porthmeor Beach, St. Ives",fred yates
Wounded Soft Watch,salvador dali
Bust of a Girl,pierre auguste
A Storm (Shipwreck),william turner
Evening in a pine forest,ivan shishkin
Hagar in the desert,marc chagall
Taches solaires,wolfgang paalen
Portrait of Maria Anne Fitzherbert,joshua reynolds
F&#234;te de Suquet,william james
Shaver Verge,jacek yerka
Baskets of Potatoes,vincent van
Lady Godiva,remedios varo
Oculus depicting The Nativity,paolo uccello
Meleager und Atalante,gerard van
Saint Felix Of Cantalice,peter paul
William Scott Luce,edward burne
Enclosed Field,vincent van
"Emmanuel-Th&#233;odose De La Tour D&#39;auvergne, Cardinal De Bouillon",giovanni battista
The Shield,jacques h
Observation,jean david
Green Fields,eyvind earle
"&quot;Cool&quot; Series No. 29 (Cool Blue, Cold Green)",perle fine
Tree Blooming,pierre auguste
Sunball,gene davis
Moses and the Pharaoh,salvador dali
Seeking the Trail (detail),charles m
Daughter of Cairo (detail),wilhelm kotarbinski
Moonoverthebay,john miller
Fiddling His Way,eastman johnson
The Family,egon schiele
A Cool Corner,clara southern
Old Woman with a Pipe (sketch),jean leon
Street in Presidio,james weeks
Metropoli,antonio sanfilippo
Ship,alfred wallis
"The Temple of Isis de face, with the two wings of his peristillo",giovanni battista
Fish Wharves - Gloucester,willard metcalf
Mother and Children,ernst ludwig
Gem,anne appleby
Woman with a Black Dog,pierre auguste
Resting by a Stream,thomas hill
A Study,james campbell
The Disciples See Christ Walking on the Water,henry ossawa
